ptId0,ptId1,ptId2,edge0-1,edge1-2,edge2-0,area
1,4,0,1.05146,1.05146,1.05146,1.23607
4,9,0,1.05146,1.05146,1.05146,0.552786
4,5,9,1.05146,1.05146,1.05146,0.552786
8,5,4,1.05146,1.05146,1.05146,1.23607
1,8,4,1.05146,1.05146,1.05146,1.65836
1,10,8,1.05146,1.05146,1.05146,1.23607
10,3,8,1.05146,1.05146,1.05146,0.552786
8,3,5,1.05146,1.05146,1.05146,0.552786
3,2,5,1.05146,1.05146,1.05146,-0.552786
3,7,2,1.05146,1.05146,1.05146,-1.23607
3,10,7,1.05146,1.05146,1.05146,-0.552786
10,6,7,1.05146,1.05146,1.05146,-0.552786
6,11,7,1.05146,1.05146,1.05146,-1.23607
6,0,11,1.05146,1.05146,1.05146,-0.552786
6,1,0,1.05146,1.05146,1.05146,0.552786
10,1,6,1.05146,1.05146,1.05146,0.552786
11,0,9,1.05146,1.05146,1.05146,-0.552786
2,11,9,1.05146,1.05146,1.05146,-1.23607
5,2,9,1.05146,1.05146,1.05146,-0.552786
11,2,7,1.05146,1.05146,1.05146,-1.65836
